"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"09/18/2011 00:00:00","EDT","CAPITL",61757,948.6
"09/18/2011 00:00:00","EDT","CENTRL",61754,1358.2
"09/18/2011 00:00:00","EDT","DUNWOD",61760,491.8
"09/18/2011 00:00:00","EDT","GENESE",61753,835.4
"09/18/2011 00:00:00","EDT","HUD VL",61758,792.7
"09/18/2011 00:00:00","EDT","LONGIL",61762,1859.1
"09/18/2011 00:00:00","EDT","MHK VL",61756,601.9
"09/18/2011 00:00:00","EDT","MILLWD",61759,262.6
"09/18/2011 00:00:00","EDT","N.Y.C.",61761,4598.8
"09/18/2011 00:00:00","EDT","NORTH",61755,650.7
"09/18/2011 00:00:00","EDT","WEST",61752,1405.2
"09/18/2011 01:00:00","EDT","CAPITL",61757,896.3
"09/18/2011 01:00:00","EDT","CENTRL",61754,1296.9
"09/18/2011 01:00:00","EDT","DUNWOD",61760,461.7
"09/18/2011 01:00:00","EDT","GENESE",61753,797.1
"09/18/2011 01:00:00","EDT","HUD VL",61758,747.8
"09/18/2011 01:00:00","EDT","LONGIL",61762,1755
"09/18/2011 01:00:00","EDT","MHK VL",61756,584.3
"09/18/2011 01:00:00","EDT","MILLWD",61759,243.7
"09/18/2011 01:00:00","EDT","N.Y.C.",61761,4353.4
"09/18/2011 01:00:00","EDT","NORTH",61755,651.3
"09/18/2011 01:00:00","EDT","WEST",61752,1351.6
"09/18/2011 02:00:00","EDT","CAPITL",61757,866
"09/18/2011 02:00:00","EDT","CENTRL",61754,1265.6
"09/18/2011 02:00:00","EDT","DUNWOD",61760,447
"09/18/2011 02:00:00","EDT","GENESE",61753,774.3
"09/18/2011 02:00:00","EDT","HUD VL",61758,717
"09/18/2011 02:00:00","EDT","LONGIL",61762,1690
"09/18/2011 02:00:00","EDT","MHK VL",61756,576.6
"09/18/2011 02:00:00","EDT","MILLWD",61759,235.7
"09/18/2011 02:00:00","EDT","N.Y.C.",61761,4190.3
"09/18/2011 02:00:00","EDT","NORTH",61755,644.5
"09/18/2011 02:00:00","EDT","WEST",61752,1319.9
