Load,Time Stamp
1393.7,2017-01-10 00:00:00
1358.2,2017-01-10 01:00:00
1343.7,2017-01-10 02:00:00
1345.7,2017-01-10 03:00:00
1377.6,2017-01-10 04:00:00
1463.1,2017-01-10 05:00:00
1621.1,2017-01-10 06:00:00
1688.5,2017-01-10 07:00:00
1666.1,2017-01-10 08:00:00
1656.1,2017-01-10 09:00:00
1665.3,2017-01-10 10:00:00
1641.7,2017-01-10 11:00:00
1622.6,2017-01-10 12:00:00
1632.1,2017-01-10 13:00:00
1634.9,2017-01-10 14:00:00
1644.8,2017-01-10 15:00:00
1711.1,2017-01-10 16:00:00
1773.8,2017-01-10 17:00:00
1761.7,2017-01-10 18:00:00
1708.3,2017-01-10 19:00:00
1634.2,2017-01-10 20:00:00
1531.3,2017-01-10 21:00:00
1409.9,2017-01-10 22:00:00
1305.3,2017-01-10 23:00:00
