Load,Time Stamp
1720.4,2017-07-07 00:00:00
1652.6,2017-07-07 01:00:00
1601.4,2017-07-07 02:00:00
1569.4,2017-07-07 03:00:00
1573.5,2017-07-07 04:00:00
1624.1,2017-07-07 05:00:00
1759.3,2017-07-07 06:00:00
1938.8,2017-07-07 07:00:00
2063.2,2017-07-07 08:00:00
2159.1,2017-07-07 09:00:00
2217.0,2017-07-07 10:00:00
2320.3,2017-07-07 11:00:00
2367.4,2017-07-07 12:00:00
2397.1,2017-07-07 13:00:00
2371.7,2017-07-07 14:00:00
2336.0,2017-07-07 15:00:00
2299.7,2017-07-07 16:00:00
2277.5,2017-07-07 17:00:00
2245.4,2017-07-07 18:00:00
2165.7,2017-07-07 19:00:00
2122.4,2017-07-07 20:00:00
2075.3,2017-07-07 21:00:00
1947.5,2017-07-07 22:00:00
1803.9,2017-07-07 23:00:00
