Load,Time Stamp
500.6,2017-11-07 00:00:00
473.5,2017-11-07 01:00:00
462.3,2017-11-07 02:00:00
470.4,2017-11-07 03:00:00
482.4,2017-11-07 04:00:00
514.3,2017-11-07 05:00:00
582.8,2017-11-07 06:00:00
631.0,2017-11-07 07:00:00
646.5,2017-11-07 08:00:00
659.2,2017-11-07 09:00:00
673.0,2017-11-07 10:00:00
679.9,2017-11-07 11:00:00
688.0,2017-11-07 12:00:00
688.0,2017-11-07 13:00:00
695.8,2017-11-07 14:00:00
709.6,2017-11-07 15:00:00
746.2,2017-11-07 16:00:00
764.8,2017-11-07 17:00:00
759.5,2017-11-07 18:00:00
746.1,2017-11-07 19:00:00
723.0,2017-11-07 20:00:00
679.0,2017-11-07 21:00:00
616.3,2017-11-07 22:00:00
559.8,2017-11-07 23:00:00
