Load,Time Stamp
1085.1,2017-07-28 00:00:00
1025.2,2017-07-28 01:00:00
986.6,2017-07-28 02:00:00
963.0,2017-07-28 03:00:00
966.9,2017-07-28 04:00:00
1011.7,2017-07-28 05:00:00
1077.1,2017-07-28 06:00:00
1163.9,2017-07-28 07:00:00
1235.4,2017-07-28 08:00:00
1283.8,2017-07-28 09:00:00
1315.6,2017-07-28 10:00:00
1333.0,2017-07-28 11:00:00
1337.6,2017-07-28 12:00:00
1344.8,2017-07-28 13:00:00
1335.5,2017-07-28 14:00:00
1335.5,2017-07-28 15:00:00
1325.0,2017-07-28 16:00:00
1305.2,2017-07-28 17:00:00
1264.7,2017-07-28 18:00:00
1216.8,2017-07-28 19:00:00
1173.4,2017-07-28 20:00:00
1162.1,2017-07-28 21:00:00
1079.0,2017-07-28 22:00:00
988.2,2017-07-28 23:00:00
