Load,Time Stamp
1264.7,2017-07-21 00:00:00
1172.0,2017-07-21 01:00:00
1113.4,2017-07-21 02:00:00
1070.5,2017-07-21 03:00:00
1054.6,2017-07-21 04:00:00
1078.6,2017-07-21 05:00:00
1152.3,2017-07-21 06:00:00
1279.2,2017-07-21 07:00:00
1407.5,2017-07-21 08:00:00
1528.8,2017-07-21 09:00:00
1623.7,2017-07-21 10:00:00
1733.2,2017-07-21 11:00:00
1818.5,2017-07-21 12:00:00
1893.6,2017-07-21 13:00:00
1968.0,2017-07-21 14:00:00
1998.4,2017-07-21 15:00:00
2044.7,2017-07-21 16:00:00
2048.2,2017-07-21 17:00:00
1979.9,2017-07-21 18:00:00
1895.5,2017-07-21 19:00:00
1830.2,2017-07-21 20:00:00
1771.1,2017-07-21 21:00:00
1650.8,2017-07-21 22:00:00
1507.1,2017-07-21 23:00:00
