Load,Time Stamp
1685.5,2017-04-16 00:00:00
1587.5,2017-04-16 01:00:00
1519.9,2017-04-16 02:00:00
1482.7,2017-04-16 03:00:00
1476.6,2017-04-16 04:00:00
1501.6,2017-04-16 05:00:00
1520.8,2017-04-16 06:00:00
1575.2,2017-04-16 07:00:00
1668.0,2017-04-16 08:00:00
1736.8,2017-04-16 09:00:00
1791.6,2017-04-16 10:00:00
1818.6,2017-04-16 11:00:00
1869.9,2017-04-16 12:00:00
1892.2,2017-04-16 13:00:00
1925.9,2017-04-16 14:00:00
1964.5,2017-04-16 15:00:00
2057.2,2017-04-16 16:00:00
2034.7,2017-04-16 17:00:00
2030.8,2017-04-16 18:00:00
2102.9,2017-04-16 19:00:00
2217.9,2017-04-16 20:00:00
2170.0,2017-04-16 21:00:00
2017.4,2017-04-16 22:00:00
1839.0,2017-04-16 23:00:00
