Load,Time Stamp
776.2,2017-03-10 00:00:00
757.2,2017-03-10 01:00:00
744.4,2017-03-10 02:00:00
744.7,2017-03-10 03:00:00
769.1,2017-03-10 04:00:00
835.6,2017-03-10 05:00:00
964.1,2017-03-10 06:00:00
1029.3,2017-03-10 07:00:00
1045.0,2017-03-10 08:00:00
1049.4,2017-03-10 09:00:00
1058.9,2017-03-10 10:00:00
1042.2,2017-03-10 11:00:00
1032.6,2017-03-10 12:00:00
1016.3,2017-03-10 13:00:00
1004.1,2017-03-10 14:00:00
999.5,2017-03-10 15:00:00
1035.9,2017-03-10 16:00:00
1094.2,2017-03-10 17:00:00
1150.4,2017-03-10 18:00:00
1157.1,2017-03-10 19:00:00
1144.5,2017-03-10 20:00:00
1099.5,2017-03-10 21:00:00
1040.2,2017-03-10 22:00:00
965.1,2017-03-10 23:00:00
