Load,Time Stamp
233.3,2017-11-22 00:00:00
225.0,2017-11-22 01:00:00
222.1,2017-11-22 02:00:00
223.2,2017-11-22 03:00:00
228.2,2017-11-22 04:00:00
247.6,2017-11-22 05:00:00
277.8,2017-11-22 06:00:00
299.5,2017-11-22 07:00:00
311.2,2017-11-22 08:00:00
319.6,2017-11-22 09:00:00
318.2,2017-11-22 10:00:00
319.2,2017-11-22 11:00:00
313.7,2017-11-22 12:00:00
322.2,2017-11-22 13:00:00
324.0,2017-11-22 14:00:00
324.2,2017-11-22 15:00:00
340.5,2017-11-22 16:00:00
375.4,2017-11-22 17:00:00
375.5,2017-11-22 18:00:00
368.3,2017-11-22 19:00:00
357.3,2017-11-22 20:00:00
341.1,2017-11-22 21:00:00
318.0,2017-11-22 22:00:00
289.0,2017-11-22 23:00:00
