Load,Time Stamp
5876.1,2017-09-18 00:00:00
5631.0,2017-09-18 01:00:00
5457.2,2017-09-18 02:00:00
5377.1,2017-09-18 03:00:00
5393.6,2017-09-18 04:00:00
5672.2,2017-09-18 05:00:00
6240.6,2017-09-18 06:00:00
6808.7,2017-09-18 07:00:00
7194.4,2017-09-18 08:00:00
7468.3,2017-09-18 09:00:00
7545.7,2017-09-18 10:00:00
7627.8,2017-09-18 11:00:00
7685.6,2017-09-18 12:00:00
7712.4,2017-09-18 13:00:00
7682.7,2017-09-18 14:00:00
7698.9,2017-09-18 15:00:00
7711.9,2017-09-18 16:00:00
7667.5,2017-09-18 17:00:00
7418.7,2017-09-18 18:00:00
7371.8,2017-09-18 19:00:00
7208.0,2017-09-18 20:00:00
6977.6,2017-09-18 21:00:00
6630.0,2017-09-18 22:00:00
6173.6,2017-09-18 23:00:00
