Load,Time Stamp
415.1,2017-05-11 00:00:00
410.3,2017-05-11 01:00:00
405.1,2017-05-11 02:00:00
402.5,2017-05-11 03:00:00
409.6,2017-05-11 04:00:00
424.4,2017-05-11 05:00:00
453.1,2017-05-11 06:00:00
466.6,2017-05-11 07:00:00
470.3,2017-05-11 08:00:00
468.0,2017-05-11 09:00:00
460.1,2017-05-11 10:00:00
453.8,2017-05-11 11:00:00
450.3,2017-05-11 12:00:00
448.6,2017-05-11 13:00:00
444.6,2017-05-11 14:00:00
443.5,2017-05-11 15:00:00
442.5,2017-05-11 16:00:00
442.9,2017-05-11 17:00:00
444.9,2017-05-11 18:00:00
450.6,2017-05-11 19:00:00
454.3,2017-05-11 20:00:00
445.9,2017-05-11 21:00:00
433.9,2017-05-11 22:00:00
432.7,2017-05-11 23:00:00
