Load,Time Stamp
1571.6,2017-09-22 00:00:00
1500.6,2017-09-22 01:00:00
1451.3,2017-09-22 02:00:00
1434.5,2017-09-22 03:00:00
1442.4,2017-09-22 04:00:00
1497.2,2017-09-22 05:00:00
1621.1,2017-09-22 06:00:00
1690.2,2017-09-22 07:00:00
1735.7,2017-09-22 08:00:00
1787.8,2017-09-22 09:00:00
1853.7,2017-09-22 10:00:00
1898.6,2017-09-22 11:00:00
1940.9,2017-09-22 12:00:00
2000.6,2017-09-22 13:00:00
2036.8,2017-09-22 14:00:00
2058.8,2017-09-22 15:00:00
2066.5,2017-09-22 16:00:00
2034.3,2017-09-22 17:00:00
1952.0,2017-09-22 18:00:00
1914.7,2017-09-22 19:00:00
1866.6,2017-09-22 20:00:00
1782.7,2017-09-22 21:00:00
1706.8,2017-09-22 22:00:00
1573.1,2017-09-22 23:00:00
