"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"04/14/2009 00:00",902,1479,513,892,872,1824,600,226,4825,688,1461,14282
"04/14/2009 01:00",872,1456,486,842,837,1720,573,206,4504,698,1401,13595
"04/14/2009 02:00",867,1448,475,829,831,1666,570,206,4330,698,1390,13310
"04/14/2009 03:00",864,1435,469,826,829,1643,570,205,4245,693,1391,13170
"04/14/2009 04:00",878,1452,469,837,835,1659,581,206,4242,697,1400,13256
"04/14/2009 05:00",945,1531,494,900,875,1737,629,221,4424,714,1465,13935
"04/14/2009 06:00",1117,1742,550,1028,969,1912,721,254,4862,737,1616,15508
"04/14/2009 07:00",1257,1874,611,1116,1051,2115,804,285,5432,751,1725,17021
"04/14/2009 08:00",1293,1901,666,1156,1101,2281,818,295,5916,752,1792,17971
"04/14/2009 09:00",1286,1884,692,1161,1116,2381,806,297,6222,740,1810,18395
"04/14/2009 10:00",1288,1877,705,1164,1121,2436,799,296,6368,728,1815,18597
"04/14/2009 11:00",1271,1845,703,1156,1112,2449,783,292,6422,727,1809,18569
"04/14/2009 12:00",1245,1819,700,1138,1089,2433,760,288,6431,720,1793,18416
"04/14/2009 13:00",1225,1792,695,1126,1070,2402,741,283,6402,718,1792,18246
"04/14/2009 14:00",1191,1754,686,1109,1053,2378,723,279,6373,717,1767,18030
"04/14/2009 15:00",1174,1716,680,1089,1038,2366,711,275,6352,711,1732,17844
"04/14/2009 16:00",1175,1686,680,1078,1035,2377,701,279,6359,711,1709,17790
"04/14/2009 17:00",1188,1681,676,1072,1039,2393,705,288,6343,714,1687,17786
"04/14/2009 18:00",1198,1695,672,1069,1059,2432,716,297,6193,715,1678,17724
"04/14/2009 19:00",1221,1717,687,1082,1093,2482,733,307,6121,717,1690,17850
"04/14/2009 20:00",1288,1819,715,1161,1166,2610,779,330,6182,729,1789,18568
"04/14/2009 21:00",1215,1770,693,1132,1126,2508,746,312,5999,721,1782,18004
"04/14/2009 22:00",1088,1634,642,1030,1034,2294,684,285,5691,709,1675,16766
"04/14/2009 23:00",955,1501,574,922,931,2037,612,248,5252,697,1548,15277
"04/15/2009 00:00",871,1418,515,849,847,1844,572,224,4794,692,1447,14073
"04/15/2009 01:00",861,1434,486,826,832,1722,551,204,4496,688,1406,13506
"04/15/2009 02:00",857,1425,473,813,823,1666,546,201,4317,689,1389,13199
"04/15/2009 03:00",854,1412,465,810,820,1642,546,200,4227,684,1389,13049
"04/15/2009 04:00",866,1426,466,820,825,1659,556,203,4220,687,1400,13128
"04/15/2009 05:00",930,1503,492,879,862,1738,603,216,4397,703,1464,13787
