Load Forecast,Time Stamp
919,2017-05-22 00:00:00
886,2017-05-22 01:00:00
871,2017-05-22 02:00:00
869,2017-05-22 03:00:00
890,2017-05-22 04:00:00
948,2017-05-22 05:00:00
1067,2017-05-22 06:00:00
1161,2017-05-22 07:00:00
1189,2017-05-22 08:00:00
1196,2017-05-22 09:00:00
1207,2017-05-22 10:00:00
1212,2017-05-22 11:00:00
1215,2017-05-22 12:00:00
1222,2017-05-22 13:00:00
1223,2017-05-22 14:00:00
1228,2017-05-22 15:00:00
1245,2017-05-22 16:00:00
1258,2017-05-22 17:00:00
1257,2017-05-22 18:00:00
1258,2017-05-22 19:00:00
1285,2017-05-22 20:00:00
1230,2017-05-22 21:00:00
1121,2017-05-22 22:00:00
1026,2017-05-22 23:00:00
948,2017-05-23 00:00:00
912,2017-05-23 01:00:00
895,2017-05-23 02:00:00
893,2017-05-23 03:00:00
915,2017-05-23 04:00:00
974,2017-05-23 05:00:00
1096,2017-05-23 06:00:00
1181,2017-05-23 07:00:00
1200,2017-05-23 08:00:00
1201,2017-05-23 09:00:00
1206,2017-05-23 10:00:00
1210,2017-05-23 11:00:00
1212,2017-05-23 12:00:00
1221,2017-05-23 13:00:00
1227,2017-05-23 14:00:00
1234,2017-05-23 15:00:00
1247,2017-05-23 16:00:00
1252,2017-05-23 17:00:00
1247,2017-05-23 18:00:00
1247,2017-05-23 19:00:00
1281,2017-05-23 20:00:00
1234,2017-05-23 21:00:00
1120,2017-05-23 22:00:00
1024,2017-05-23 23:00:00
962,2017-05-24 00:00:00
925,2017-05-24 01:00:00
906,2017-05-24 02:00:00
900,2017-05-24 03:00:00
919,2017-05-24 04:00:00
969,2017-05-24 05:00:00
1080,2017-05-24 06:00:00
1176,2017-05-24 07:00:00
1218,2017-05-24 08:00:00
1279,2017-05-24 09:00:00
1286,2017-05-24 10:00:00
1275,2017-05-24 11:00:00
1244,2017-05-24 12:00:00
1235,2017-05-24 13:00:00
1224,2017-05-24 14:00:00
1230,2017-05-24 15:00:00
1243,2017-05-24 16:00:00
1257,2017-05-24 17:00:00
1258,2017-05-24 18:00:00
1258,2017-05-24 19:00:00
1257,2017-05-24 20:00:00
1239,2017-05-24 21:00:00
1149,2017-05-24 22:00:00
1058,2017-05-24 23:00:00
974,2017-05-25 00:00:00
933,2017-05-25 01:00:00
912,2017-05-25 02:00:00
906,2017-05-25 03:00:00
922,2017-05-25 04:00:00
969,2017-05-25 05:00:00
1075,2017-05-25 06:00:00
1167,2017-05-25 07:00:00
1215,2017-05-25 08:00:00
1298,2017-05-25 09:00:00
1307,2017-05-25 10:00:00
1290,2017-05-25 11:00:00
1253,2017-05-25 12:00:00
1244,2017-05-25 13:00:00
1240,2017-05-25 14:00:00
1250,2017-05-25 15:00:00
1260,2017-05-25 16:00:00
1277,2017-05-25 17:00:00
1280,2017-05-25 18:00:00
1291,2017-05-25 19:00:00
1296,2017-05-25 20:00:00
1280,2017-05-25 21:00:00
1195,2017-05-25 22:00:00
1100,2017-05-25 23:00:00
969,2017-05-26 00:00:00
925,2017-05-26 01:00:00
906,2017-05-26 02:00:00
899,2017-05-26 03:00:00
913,2017-05-26 04:00:00
957,2017-05-26 05:00:00
1057,2017-05-26 06:00:00
1143,2017-05-26 07:00:00
1188,2017-05-26 08:00:00
1264,2017-05-26 09:00:00
1263,2017-05-26 10:00:00
1239,2017-05-26 11:00:00
1197,2017-05-26 12:00:00
1181,2017-05-26 13:00:00
1166,2017-05-26 14:00:00
1164,2017-05-26 15:00:00
1166,2017-05-26 16:00:00
1172,2017-05-26 17:00:00
1168,2017-05-26 18:00:00
1173,2017-05-26 19:00:00
1178,2017-05-26 20:00:00
1175,2017-05-26 21:00:00
1116,2017-05-26 22:00:00
1046,2017-05-26 23:00:00
958,2017-05-27 00:00:00
917,2017-05-27 01:00:00
893,2017-05-27 02:00:00
881,2017-05-27 03:00:00
884,2017-05-27 04:00:00
890,2017-05-27 05:00:00
925,2017-05-27 06:00:00
983,2017-05-27 07:00:00
1053,2017-05-27 08:00:00
1188,2017-05-27 09:00:00
1201,2017-05-27 10:00:00
1184,2017-05-27 11:00:00
1143,2017-05-27 12:00:00
1117,2017-05-27 13:00:00
1097,2017-05-27 14:00:00
1100,2017-05-27 15:00:00
1112,2017-05-27 16:00:00
1134,2017-05-27 17:00:00
1135,2017-05-27 18:00:00
1145,2017-05-27 19:00:00
1140,2017-05-27 20:00:00
1131,2017-05-27 21:00:00
1084,2017-05-27 22:00:00
1033,2017-05-27 23:00:00
