Load Forecast,Time Stamp
1391,2017-06-10 00:00:00
1330,2017-06-10 01:00:00
1289,2017-06-10 02:00:00
1269,2017-06-10 03:00:00
1274,2017-06-10 04:00:00
1292,2017-06-10 05:00:00
1332,2017-06-10 06:00:00
1414,2017-06-10 07:00:00
1521,2017-06-10 08:00:00
1669,2017-06-10 09:00:00
1716,2017-06-10 10:00:00
1717,2017-06-10 11:00:00
1711,2017-06-10 12:00:00
1696,2017-06-10 13:00:00
1692,2017-06-10 14:00:00
1698,2017-06-10 15:00:00
1726,2017-06-10 16:00:00
1757,2017-06-10 17:00:00
1772,2017-06-10 18:00:00
1765,2017-06-10 19:00:00
1722,2017-06-10 20:00:00
1724,2017-06-10 21:00:00
1648,2017-06-10 22:00:00
1558,2017-06-10 23:00:00
1506,2017-06-11 00:00:00
1437,2017-06-11 01:00:00
1391,2017-06-11 02:00:00
1362,2017-06-11 03:00:00
1356,2017-06-11 04:00:00
1361,2017-06-11 05:00:00
1390,2017-06-11 06:00:00
1483,2017-06-11 07:00:00
1620,2017-06-11 08:00:00
1792,2017-06-11 09:00:00
1875,2017-06-11 10:00:00
1919,2017-06-11 11:00:00
1955,2017-06-11 12:00:00
1969,2017-06-11 13:00:00
1985,2017-06-11 14:00:00
2011,2017-06-11 15:00:00
2048,2017-06-11 16:00:00
2071,2017-06-11 17:00:00
2069,2017-06-11 18:00:00
2037,2017-06-11 19:00:00
1978,2017-06-11 20:00:00
1954,2017-06-11 21:00:00
1838,2017-06-11 22:00:00
1718,2017-06-11 23:00:00
1624,2017-06-12 00:00:00
1556,2017-06-12 01:00:00
1507,2017-06-12 02:00:00
1485,2017-06-12 03:00:00
1506,2017-06-12 04:00:00
1577,2017-06-12 05:00:00
1721,2017-06-12 06:00:00
1897,2017-06-12 07:00:00
2038,2017-06-12 08:00:00
2190,2017-06-12 09:00:00
2282,2017-06-12 10:00:00
2336,2017-06-12 11:00:00
2375,2017-06-12 12:00:00
2411,2017-06-12 13:00:00
2429,2017-06-12 14:00:00
2441,2017-06-12 15:00:00
2451,2017-06-12 16:00:00
2430,2017-06-12 17:00:00
2398,2017-06-12 18:00:00
2335,2017-06-12 19:00:00
2246,2017-06-12 20:00:00
2190,2017-06-12 21:00:00
2025,2017-06-12 22:00:00
1853,2017-06-12 23:00:00
1717,2017-06-13 00:00:00
1629,2017-06-13 01:00:00
1566,2017-06-13 02:00:00
1536,2017-06-13 03:00:00
1552,2017-06-13 04:00:00
1620,2017-06-13 05:00:00
1764,2017-06-13 06:00:00
1938,2017-06-13 07:00:00
2078,2017-06-13 08:00:00
2243,2017-06-13 09:00:00
2318,2017-06-13 10:00:00
2342,2017-06-13 11:00:00
2349,2017-06-13 12:00:00
2361,2017-06-13 13:00:00
2362,2017-06-13 14:00:00
2368,2017-06-13 15:00:00
2369,2017-06-13 16:00:00
2356,2017-06-13 17:00:00
2327,2017-06-13 18:00:00
2273,2017-06-13 19:00:00
2196,2017-06-13 20:00:00
2147,2017-06-13 21:00:00
1986,2017-06-13 22:00:00
1811,2017-06-13 23:00:00
1641,2017-06-14 00:00:00
1553,2017-06-14 01:00:00
1492,2017-06-14 02:00:00
1460,2017-06-14 03:00:00
1472,2017-06-14 04:00:00
1540,2017-06-14 05:00:00
1677,2017-06-14 06:00:00
1835,2017-06-14 07:00:00
1949,2017-06-14 08:00:00
2063,2017-06-14 09:00:00
2129,2017-06-14 10:00:00
2159,2017-06-14 11:00:00
2178,2017-06-14 12:00:00
2206,2017-06-14 13:00:00
2219,2017-06-14 14:00:00
2231,2017-06-14 15:00:00
2241,2017-06-14 16:00:00
2226,2017-06-14 17:00:00
2187,2017-06-14 18:00:00
2131,2017-06-14 19:00:00
2061,2017-06-14 20:00:00
2022,2017-06-14 21:00:00
1865,2017-06-14 22:00:00
1701,2017-06-14 23:00:00
1594,2017-06-15 00:00:00
1516,2017-06-15 01:00:00
1461,2017-06-15 02:00:00
1436,2017-06-15 03:00:00
1455,2017-06-15 04:00:00
1531,2017-06-15 05:00:00
1676,2017-06-15 06:00:00
1839,2017-06-15 07:00:00
1957,2017-06-15 08:00:00
2054,2017-06-15 09:00:00
2137,2017-06-15 10:00:00
2202,2017-06-15 11:00:00
2249,2017-06-15 12:00:00
2301,2017-06-15 13:00:00
2332,2017-06-15 14:00:00
2340,2017-06-15 15:00:00
2344,2017-06-15 16:00:00
2311,2017-06-15 17:00:00
2257,2017-06-15 18:00:00
2198,2017-06-15 19:00:00
2146,2017-06-15 20:00:00
2097,2017-06-15 21:00:00
1929,2017-06-15 22:00:00
1760,2017-06-15 23:00:00
