Load Forecast,Time Stamp
632,2017-12-27 00:00:00
606,2017-12-27 01:00:00
592,2017-12-27 02:00:00
585,2017-12-27 03:00:00
593,2017-12-27 04:00:00
624,2017-12-27 05:00:00
686,2017-12-27 06:00:00
736,2017-12-27 07:00:00
754,2017-12-27 08:00:00
769,2017-12-27 09:00:00
778,2017-12-27 10:00:00
772,2017-12-27 11:00:00
767,2017-12-27 12:00:00
767,2017-12-27 13:00:00
770,2017-12-27 14:00:00
783,2017-12-27 15:00:00
828,2017-12-27 16:00:00
880,2017-12-27 17:00:00
884,2017-12-27 18:00:00
873,2017-12-27 19:00:00
851,2017-12-27 20:00:00
817,2017-12-27 21:00:00
760,2017-12-27 22:00:00
701,2017-12-27 23:00:00
675,2017-12-28 00:00:00
648,2017-12-28 01:00:00
635,2017-12-28 02:00:00
630,2017-12-28 03:00:00
638,2017-12-28 04:00:00
671,2017-12-28 05:00:00
736,2017-12-28 06:00:00
787,2017-12-28 07:00:00
802,2017-12-28 08:00:00
818,2017-12-28 09:00:00
826,2017-12-28 10:00:00
819,2017-12-28 11:00:00
811,2017-12-28 12:00:00
807,2017-12-28 13:00:00
809,2017-12-28 14:00:00
821,2017-12-28 15:00:00
868,2017-12-28 16:00:00
927,2017-12-28 17:00:00
936,2017-12-28 18:00:00
924,2017-12-28 19:00:00
901,2017-12-28 20:00:00
865,2017-12-28 21:00:00
806,2017-12-28 22:00:00
745,2017-12-28 23:00:00
688,2017-12-29 00:00:00
658,2017-12-29 01:00:00
644,2017-12-29 02:00:00
638,2017-12-29 03:00:00
644,2017-12-29 04:00:00
678,2017-12-29 05:00:00
740,2017-12-29 06:00:00
793,2017-12-29 07:00:00
818,2017-12-29 08:00:00
846,2017-12-29 09:00:00
862,2017-12-29 10:00:00
857,2017-12-29 11:00:00
848,2017-12-29 12:00:00
841,2017-12-29 13:00:00
835,2017-12-29 14:00:00
841,2017-12-29 15:00:00
875,2017-12-29 16:00:00
914,2017-12-29 17:00:00
912,2017-12-29 18:00:00
892,2017-12-29 19:00:00
869,2017-12-29 20:00:00
841,2017-12-29 21:00:00
796,2017-12-29 22:00:00
745,2017-12-29 23:00:00
699,2017-12-30 00:00:00
666,2017-12-30 01:00:00
646,2017-12-30 02:00:00
637,2017-12-30 03:00:00
635,2017-12-30 04:00:00
646,2017-12-30 05:00:00
662,2017-12-30 06:00:00
690,2017-12-30 07:00:00
734,2017-12-30 08:00:00
778,2017-12-30 09:00:00
796,2017-12-30 10:00:00
796,2017-12-30 11:00:00
792,2017-12-30 12:00:00
782,2017-12-30 13:00:00
775,2017-12-30 14:00:00
778,2017-12-30 15:00:00
815,2017-12-30 16:00:00
859,2017-12-30 17:00:00
855,2017-12-30 18:00:00
842,2017-12-30 19:00:00
828,2017-12-30 20:00:00
816,2017-12-30 21:00:00
787,2017-12-30 22:00:00
746,2017-12-30 23:00:00
704,2017-12-31 00:00:00
669,2017-12-31 01:00:00
648,2017-12-31 02:00:00
639,2017-12-31 03:00:00
640,2017-12-31 04:00:00
646,2017-12-31 05:00:00
651,2017-12-31 06:00:00
661,2017-12-31 07:00:00
698,2017-12-31 08:00:00
756,2017-12-31 09:00:00
785,2017-12-31 10:00:00
793,2017-12-31 11:00:00
791,2017-12-31 12:00:00
779,2017-12-31 13:00:00
768,2017-12-31 14:00:00
770,2017-12-31 15:00:00
808,2017-12-31 16:00:00
870,2017-12-31 17:00:00
874,2017-12-31 18:00:00
860,2017-12-31 19:00:00
849,2017-12-31 20:00:00
836,2017-12-31 21:00:00
806,2017-12-31 22:00:00
770,2017-12-31 23:00:00
733,2018-01-01 00:00:00
704,2018-01-01 01:00:00
683,2018-01-01 02:00:00
668,2018-01-01 03:00:00
665,2018-01-01 04:00:00
682,2018-01-01 05:00:00
698,2018-01-01 06:00:00
705,2018-01-01 07:00:00
726,2018-01-01 08:00:00
764,2018-01-01 09:00:00
794,2018-01-01 10:00:00
804,2018-01-01 11:00:00
808,2018-01-01 12:00:00
807,2018-01-01 13:00:00
805,2018-01-01 14:00:00
806,2018-01-01 15:00:00
830,2018-01-01 16:00:00
892,2018-01-01 17:00:00
900,2018-01-01 18:00:00
894,2018-01-01 19:00:00
884,2018-01-01 20:00:00
861,2018-01-01 21:00:00
813,2018-01-01 22:00:00
765,2018-01-01 23:00:00
