Load Forecast,Time Stamp
842,2017-02-24 00:00:00
815,2017-02-24 01:00:00
800,2017-02-24 02:00:00
799,2017-02-24 03:00:00
822,2017-02-24 04:00:00
895,2017-02-24 05:00:00
1012,2017-02-24 06:00:00
1069,2017-02-24 07:00:00
1090,2017-02-24 08:00:00
1108,2017-02-24 09:00:00
1119,2017-02-24 10:00:00
1118,2017-02-24 11:00:00
1102,2017-02-24 12:00:00
1095,2017-02-24 13:00:00
1081,2017-02-24 14:00:00
1070,2017-02-24 15:00:00
1073,2017-02-24 16:00:00
1090,2017-02-24 17:00:00
1145,2017-02-24 18:00:00
1128,2017-02-24 19:00:00
1081,2017-02-24 20:00:00
1019,2017-02-24 21:00:00
944,2017-02-24 22:00:00
873,2017-02-24 23:00:00
801,2017-02-25 00:00:00
768,2017-02-25 01:00:00
751,2017-02-25 02:00:00
744,2017-02-25 03:00:00
749,2017-02-25 04:00:00
772,2017-02-25 05:00:00
806,2017-02-25 06:00:00
833,2017-02-25 07:00:00
882,2017-02-25 08:00:00
929,2017-02-25 09:00:00
955,2017-02-25 10:00:00
968,2017-02-25 11:00:00
959,2017-02-25 12:00:00
948,2017-02-25 13:00:00
940,2017-02-25 14:00:00
942,2017-02-25 15:00:00
970,2017-02-25 16:00:00
999,2017-02-25 17:00:00
1062,2017-02-25 18:00:00
1055,2017-02-25 19:00:00
1024,2017-02-25 20:00:00
974,2017-02-25 21:00:00
922,2017-02-25 22:00:00
875,2017-02-25 23:00:00
845,2017-02-26 00:00:00
820,2017-02-26 01:00:00
806,2017-02-26 02:00:00
803,2017-02-26 03:00:00
811,2017-02-26 04:00:00
834,2017-02-26 05:00:00
862,2017-02-26 06:00:00
883,2017-02-26 07:00:00
931,2017-02-26 08:00:00
969,2017-02-26 09:00:00
988,2017-02-26 10:00:00
998,2017-02-26 11:00:00
999,2017-02-26 12:00:00
995,2017-02-26 13:00:00
987,2017-02-26 14:00:00
989,2017-02-26 15:00:00
1018,2017-02-26 16:00:00
1063,2017-02-26 17:00:00
1133,2017-02-26 18:00:00
1130,2017-02-26 19:00:00
1099,2017-02-26 20:00:00
1039,2017-02-26 21:00:00
973,2017-02-26 22:00:00
913,2017-02-26 23:00:00
889,2017-02-27 00:00:00
868,2017-02-27 01:00:00
858,2017-02-27 02:00:00
860,2017-02-27 03:00:00
886,2017-02-27 04:00:00
958,2017-02-27 05:00:00
1062,2017-02-27 06:00:00
1120,2017-02-27 07:00:00
1140,2017-02-27 08:00:00
1149,2017-02-27 09:00:00
1152,2017-02-27 10:00:00
1146,2017-02-27 11:00:00
1130,2017-02-27 12:00:00
1123,2017-02-27 13:00:00
1110,2017-02-27 14:00:00
1104,2017-02-27 15:00:00
1115,2017-02-27 16:00:00
1147,2017-02-27 17:00:00
1220,2017-02-27 18:00:00
1217,2017-02-27 19:00:00
1175,2017-02-27 20:00:00
1106,2017-02-27 21:00:00
1027,2017-02-27 22:00:00
960,2017-02-27 23:00:00
912,2017-02-28 00:00:00
886,2017-02-28 01:00:00
873,2017-02-28 02:00:00
873,2017-02-28 03:00:00
897,2017-02-28 04:00:00
965,2017-02-28 05:00:00
1064,2017-02-28 06:00:00
1117,2017-02-28 07:00:00
1133,2017-02-28 08:00:00
1139,2017-02-28 09:00:00
1138,2017-02-28 10:00:00
1132,2017-02-28 11:00:00
1116,2017-02-28 12:00:00
1110,2017-02-28 13:00:00
1098,2017-02-28 14:00:00
1094,2017-02-28 15:00:00
1110,2017-02-28 16:00:00
1136,2017-02-28 17:00:00
1207,2017-02-28 18:00:00
1203,2017-02-28 19:00:00
1163,2017-02-28 20:00:00
1094,2017-02-28 21:00:00
1013,2017-02-28 22:00:00
944,2017-02-28 23:00:00
895,2017-03-01 00:00:00
870,2017-03-01 01:00:00
858,2017-03-01 02:00:00
859,2017-03-01 03:00:00
883,2017-03-01 04:00:00
958,2017-03-01 05:00:00
1075,2017-03-01 06:00:00
1122,2017-03-01 07:00:00
1133,2017-03-01 08:00:00
1133,2017-03-01 09:00:00
1138,2017-03-01 10:00:00
1128,2017-03-01 11:00:00
1115,2017-03-01 12:00:00
1110,2017-03-01 13:00:00
1098,2017-03-01 14:00:00
1093,2017-03-01 15:00:00
1096,2017-03-01 16:00:00
1112,2017-03-01 17:00:00
1172,2017-03-01 18:00:00
1172,2017-03-01 19:00:00
1133,2017-03-01 20:00:00
1066,2017-03-01 21:00:00
979,2017-03-01 22:00:00
909,2017-03-01 23:00:00
