Load Forecast,Time Stamp
1885,2017-01-21 00:00:00
1769,2017-01-21 01:00:00
1699,2017-01-21 02:00:00
1661,2017-01-21 03:00:00
1665,2017-01-21 04:00:00
1713,2017-01-21 05:00:00
1815,2017-01-21 06:00:00
1923,2017-01-21 07:00:00
2042,2017-01-21 08:00:00
2133,2017-01-21 09:00:00
2169,2017-01-21 10:00:00
2162,2017-01-21 11:00:00
2134,2017-01-21 12:00:00
2100,2017-01-21 13:00:00
2079,2017-01-21 14:00:00
2101,2017-01-21 15:00:00
2228,2017-01-21 16:00:00
2476,2017-01-21 17:00:00
2522,2017-01-21 18:00:00
2457,2017-01-21 19:00:00
2369,2017-01-21 20:00:00
2267,2017-01-21 21:00:00
2128,2017-01-21 22:00:00
1973,2017-01-21 23:00:00
1824,2017-01-22 00:00:00
1713,2017-01-22 01:00:00
1644,2017-01-22 02:00:00
1606,2017-01-22 03:00:00
1609,2017-01-22 04:00:00
1646,2017-01-22 05:00:00
1726,2017-01-22 06:00:00
1797,2017-01-22 07:00:00
1893,2017-01-22 08:00:00
1986,2017-01-22 09:00:00
2044,2017-01-22 10:00:00
2069,2017-01-22 11:00:00
2082,2017-01-22 12:00:00
2085,2017-01-22 13:00:00
2094,2017-01-22 14:00:00
2135,2017-01-22 15:00:00
2277,2017-01-22 16:00:00
2543,2017-01-22 17:00:00
2594,2017-01-22 18:00:00
2538,2017-01-22 19:00:00
2459,2017-01-22 20:00:00
2333,2017-01-22 21:00:00
2148,2017-01-22 22:00:00
1955,2017-01-22 23:00:00
1815,2017-01-23 00:00:00
1740,2017-01-23 01:00:00
1699,2017-01-23 02:00:00
1690,2017-01-23 03:00:00
1731,2017-01-23 04:00:00
1863,2017-01-23 05:00:00
2105,2017-01-23 06:00:00
2290,2017-01-23 07:00:00
2360,2017-01-23 08:00:00
2398,2017-01-23 09:00:00
2426,2017-01-23 10:00:00
2430,2017-01-23 11:00:00
2424,2017-01-23 12:00:00
2425,2017-01-23 13:00:00
2431,2017-01-23 14:00:00
2466,2017-01-23 15:00:00
2596,2017-01-23 16:00:00
2824,2017-01-23 17:00:00
2867,2017-01-23 18:00:00
2789,2017-01-23 19:00:00
2674,2017-01-23 20:00:00
2514,2017-01-23 21:00:00
2284,2017-01-23 22:00:00
2053,2017-01-23 23:00:00
1886,2017-01-24 00:00:00
1796,2017-01-24 01:00:00
1744,2017-01-24 02:00:00
1724,2017-01-24 03:00:00
1756,2017-01-24 04:00:00
1876,2017-01-24 05:00:00
2110,2017-01-24 06:00:00
2278,2017-01-24 07:00:00
2332,2017-01-24 08:00:00
2360,2017-01-24 09:00:00
2375,2017-01-24 10:00:00
2370,2017-01-24 11:00:00
2353,2017-01-24 12:00:00
2344,2017-01-24 13:00:00
2352,2017-01-24 14:00:00
2389,2017-01-24 15:00:00
2515,2017-01-24 16:00:00
2741,2017-01-24 17:00:00
2789,2017-01-24 18:00:00
2717,2017-01-24 19:00:00
2618,2017-01-24 20:00:00
2474,2017-01-24 21:00:00
2258,2017-01-24 22:00:00
2043,2017-01-24 23:00:00
1883,2017-01-25 00:00:00
1793,2017-01-25 01:00:00
1740,2017-01-25 02:00:00
1721,2017-01-25 03:00:00
1754,2017-01-25 04:00:00
1875,2017-01-25 05:00:00
2127,2017-01-25 06:00:00
2281,2017-01-25 07:00:00
2302,2017-01-25 08:00:00
2289,2017-01-25 09:00:00
2278,2017-01-25 10:00:00
2263,2017-01-25 11:00:00
2231,2017-01-25 12:00:00
2210,2017-01-25 13:00:00
2212,2017-01-25 14:00:00
2250,2017-01-25 15:00:00
2393,2017-01-25 16:00:00
2643,2017-01-25 17:00:00
2713,2017-01-25 18:00:00
2651,2017-01-25 19:00:00
2550,2017-01-25 20:00:00
2399,2017-01-25 21:00:00
2170,2017-01-25 22:00:00
1943,2017-01-25 23:00:00
1803,2017-01-26 00:00:00
1721,2017-01-26 01:00:00
1672,2017-01-26 02:00:00
1657,2017-01-26 03:00:00
1693,2017-01-26 04:00:00
1818,2017-01-26 05:00:00
2066,2017-01-26 06:00:00
2223,2017-01-26 07:00:00
2251,2017-01-26 08:00:00
2249,2017-01-26 09:00:00
2247,2017-01-26 10:00:00
2238,2017-01-26 11:00:00
2210,2017-01-26 12:00:00
2198,2017-01-26 13:00:00
2210,2017-01-26 14:00:00
2253,2017-01-26 15:00:00
2394,2017-01-26 16:00:00
2638,2017-01-26 17:00:00
2718,2017-01-26 18:00:00
2665,2017-01-26 19:00:00
2573,2017-01-26 20:00:00
2435,2017-01-26 21:00:00
2224,2017-01-26 22:00:00
2016,2017-01-26 23:00:00
