Load Forecast,Time Stamp
595,2017-11-07 00:00:00
582,2017-11-07 01:00:00
577,2017-11-07 02:00:00
580,2017-11-07 03:00:00
602,2017-11-07 04:00:00
665,2017-11-07 05:00:00
757,2017-11-07 06:00:00
795,2017-11-07 07:00:00
789,2017-11-07 08:00:00
787,2017-11-07 09:00:00
776,2017-11-07 10:00:00
764,2017-11-07 11:00:00
750,2017-11-07 12:00:00
747,2017-11-07 13:00:00
738,2017-11-07 14:00:00
738,2017-11-07 15:00:00
777,2017-11-07 16:00:00
829,2017-11-07 17:00:00
834,2017-11-07 18:00:00
818,2017-11-07 19:00:00
786,2017-11-07 20:00:00
743,2017-11-07 21:00:00
690,2017-11-07 22:00:00
646,2017-11-07 23:00:00
619,2017-11-08 00:00:00
603,2017-11-08 01:00:00
596,2017-11-08 02:00:00
597,2017-11-08 03:00:00
619,2017-11-08 04:00:00
680,2017-11-08 05:00:00
773,2017-11-08 06:00:00
809,2017-11-08 07:00:00
803,2017-11-08 08:00:00
791,2017-11-08 09:00:00
775,2017-11-08 10:00:00
755,2017-11-08 11:00:00
737,2017-11-08 12:00:00
733,2017-11-08 13:00:00
729,2017-11-08 14:00:00
735,2017-11-08 15:00:00
782,2017-11-08 16:00:00
840,2017-11-08 17:00:00
847,2017-11-08 18:00:00
829,2017-11-08 19:00:00
800,2017-11-08 20:00:00
753,2017-11-08 21:00:00
696,2017-11-08 22:00:00
645,2017-11-08 23:00:00
623,2017-11-09 00:00:00
606,2017-11-09 01:00:00
599,2017-11-09 02:00:00
600,2017-11-09 03:00:00
621,2017-11-09 04:00:00
683,2017-11-09 05:00:00
777,2017-11-09 06:00:00
814,2017-11-09 07:00:00
810,2017-11-09 08:00:00
794,2017-11-09 09:00:00
785,2017-11-09 10:00:00
773,2017-11-09 11:00:00
758,2017-11-09 12:00:00
753,2017-11-09 13:00:00
747,2017-11-09 14:00:00
752,2017-11-09 15:00:00
795,2017-11-09 16:00:00
857,2017-11-09 17:00:00
863,2017-11-09 18:00:00
840,2017-11-09 19:00:00
804,2017-11-09 20:00:00
751,2017-11-09 21:00:00
693,2017-11-09 22:00:00
643,2017-11-09 23:00:00
639,2017-11-10 00:00:00
628,2017-11-10 01:00:00
624,2017-11-10 02:00:00
628,2017-11-10 03:00:00
651,2017-11-10 04:00:00
709,2017-11-10 05:00:00
795,2017-11-10 06:00:00
836,2017-11-10 07:00:00
843,2017-11-10 08:00:00
840,2017-11-10 09:00:00
830,2017-11-10 10:00:00
816,2017-11-10 11:00:00
798,2017-11-10 12:00:00
795,2017-11-10 13:00:00
796,2017-11-10 14:00:00
803,2017-11-10 15:00:00
838,2017-11-10 16:00:00
879,2017-11-10 17:00:00
881,2017-11-10 18:00:00
861,2017-11-10 19:00:00
836,2017-11-10 20:00:00
805,2017-11-10 21:00:00
762,2017-11-10 22:00:00
715,2017-11-10 23:00:00
691,2017-11-11 00:00:00
667,2017-11-11 01:00:00
655,2017-11-11 02:00:00
653,2017-11-11 03:00:00
664,2017-11-11 04:00:00
692,2017-11-11 05:00:00
726,2017-11-11 06:00:00
756,2017-11-11 07:00:00
794,2017-11-11 08:00:00
806,2017-11-11 09:00:00
801,2017-11-11 10:00:00
789,2017-11-11 11:00:00
773,2017-11-11 12:00:00
762,2017-11-11 13:00:00
761,2017-11-11 14:00:00
772,2017-11-11 15:00:00
816,2017-11-11 16:00:00
871,2017-11-11 17:00:00
870,2017-11-11 18:00:00
847,2017-11-11 19:00:00
817,2017-11-11 20:00:00
779,2017-11-11 21:00:00
736,2017-11-11 22:00:00
696,2017-11-11 23:00:00
688,2017-11-12 00:00:00
667,2017-11-12 01:00:00
655,2017-11-12 02:00:00
652,2017-11-12 03:00:00
661,2017-11-12 04:00:00
684,2017-11-12 05:00:00
704,2017-11-12 06:00:00
732,2017-11-12 07:00:00
784,2017-11-12 08:00:00
789,2017-11-12 09:00:00
794,2017-11-12 10:00:00
791,2017-11-12 11:00:00
780,2017-11-12 12:00:00
768,2017-11-12 13:00:00
762,2017-11-12 14:00:00
773,2017-11-12 15:00:00
824,2017-11-12 16:00:00
889,2017-11-12 17:00:00
890,2017-11-12 18:00:00
863,2017-11-12 19:00:00
822,2017-11-12 20:00:00
761,2017-11-12 21:00:00
700,2017-11-12 22:00:00
653,2017-11-12 23:00:00
