Load Forecast,Time Stamp
209,2017-09-02 00:00:00
199,2017-09-02 01:00:00
194,2017-09-02 02:00:00
192,2017-09-02 03:00:00
193,2017-09-02 04:00:00
200,2017-09-02 05:00:00
208,2017-09-02 06:00:00
217,2017-09-02 07:00:00
229,2017-09-02 08:00:00
232,2017-09-02 09:00:00
237,2017-09-02 10:00:00
236,2017-09-02 11:00:00
232,2017-09-02 12:00:00
227,2017-09-02 13:00:00
224,2017-09-02 14:00:00
223,2017-09-02 15:00:00
223,2017-09-02 16:00:00
232,2017-09-02 17:00:00
240,2017-09-02 18:00:00
254,2017-09-02 19:00:00
264,2017-09-02 20:00:00
253,2017-09-02 21:00:00
234,2017-09-02 22:00:00
217,2017-09-02 23:00:00
207,2017-09-03 00:00:00
197,2017-09-03 01:00:00
191,2017-09-03 02:00:00
188,2017-09-03 03:00:00
187,2017-09-03 04:00:00
190,2017-09-03 05:00:00
192,2017-09-03 06:00:00
193,2017-09-03 07:00:00
205,2017-09-03 08:00:00
215,2017-09-03 09:00:00
226,2017-09-03 10:00:00
234,2017-09-03 11:00:00
239,2017-09-03 12:00:00
245,2017-09-03 13:00:00
251,2017-09-03 14:00:00
258,2017-09-03 15:00:00
267,2017-09-03 16:00:00
277,2017-09-03 17:00:00
283,2017-09-03 18:00:00
289,2017-09-03 19:00:00
294,2017-09-03 20:00:00
280,2017-09-03 21:00:00
258,2017-09-03 22:00:00
235,2017-09-03 23:00:00
219,2017-09-04 00:00:00
208,2017-09-04 01:00:00
201,2017-09-04 02:00:00
196,2017-09-04 03:00:00
196,2017-09-04 04:00:00
203,2017-09-04 05:00:00
211,2017-09-04 06:00:00
220,2017-09-04 07:00:00
239,2017-09-04 08:00:00
279,2017-09-04 09:00:00
294,2017-09-04 10:00:00
302,2017-09-04 11:00:00
306,2017-09-04 12:00:00
310,2017-09-04 13:00:00
314,2017-09-04 14:00:00
324,2017-09-04 15:00:00
340,2017-09-04 16:00:00
352,2017-09-04 17:00:00
357,2017-09-04 18:00:00
359,2017-09-04 19:00:00
363,2017-09-04 20:00:00
349,2017-09-04 21:00:00
320,2017-09-04 22:00:00
290,2017-09-04 23:00:00
254,2017-09-05 00:00:00
237,2017-09-05 01:00:00
226,2017-09-05 02:00:00
221,2017-09-05 03:00:00
222,2017-09-05 04:00:00
239,2017-09-05 05:00:00
267,2017-09-05 06:00:00
294,2017-09-05 07:00:00
316,2017-09-05 08:00:00
345,2017-09-05 09:00:00
366,2017-09-05 10:00:00
382,2017-09-05 11:00:00
396,2017-09-05 12:00:00
409,2017-09-05 13:00:00
422,2017-09-05 14:00:00
435,2017-09-05 15:00:00
444,2017-09-05 16:00:00
449,2017-09-05 17:00:00
444,2017-09-05 18:00:00
438,2017-09-05 19:00:00
428,2017-09-05 20:00:00
399,2017-09-05 21:00:00
359,2017-09-05 22:00:00
321,2017-09-05 23:00:00
287,2017-09-06 00:00:00
267,2017-09-06 01:00:00
255,2017-09-06 02:00:00
248,2017-09-06 03:00:00
248,2017-09-06 04:00:00
265,2017-09-06 05:00:00
293,2017-09-06 06:00:00
317,2017-09-06 07:00:00
333,2017-09-06 08:00:00
363,2017-09-06 09:00:00
371,2017-09-06 10:00:00
374,2017-09-06 11:00:00
375,2017-09-06 12:00:00
375,2017-09-06 13:00:00
376,2017-09-06 14:00:00
380,2017-09-06 15:00:00
384,2017-09-06 16:00:00
385,2017-09-06 17:00:00
381,2017-09-06 18:00:00
384,2017-09-06 19:00:00
382,2017-09-06 20:00:00
358,2017-09-06 21:00:00
326,2017-09-06 22:00:00
291,2017-09-06 23:00:00
257,2017-09-07 00:00:00
239,2017-09-07 01:00:00
228,2017-09-07 02:00:00
222,2017-09-07 03:00:00
222,2017-09-07 04:00:00
237,2017-09-07 05:00:00
264,2017-09-07 06:00:00
285,2017-09-07 07:00:00
299,2017-09-07 08:00:00
328,2017-09-07 09:00:00
329,2017-09-07 10:00:00
325,2017-09-07 11:00:00
317,2017-09-07 12:00:00
312,2017-09-07 13:00:00
311,2017-09-07 14:00:00
311,2017-09-07 15:00:00
313,2017-09-07 16:00:00
317,2017-09-07 17:00:00
318,2017-09-07 18:00:00
328,2017-09-07 19:00:00
330,2017-09-07 20:00:00
313,2017-09-07 21:00:00
289,2017-09-07 22:00:00
263,2017-09-07 23:00:00
