Load Forecast,Time Stamp
4835,2017-01-17 00:00:00
4617,2017-01-17 01:00:00
4487,2017-01-17 02:00:00
4438,2017-01-17 03:00:00
4477,2017-01-17 04:00:00
4723,2017-01-17 05:00:00
5236,2017-01-17 06:00:00
5776,2017-01-17 07:00:00
6099,2017-01-17 08:00:00
6307,2017-01-17 09:00:00
6397,2017-01-17 10:00:00
6435,2017-01-17 11:00:00
6444,2017-01-17 12:00:00
6435,2017-01-17 13:00:00
6414,2017-01-17 14:00:00
6437,2017-01-17 15:00:00
6538,2017-01-17 16:00:00
6681,2017-01-17 17:00:00
6554,2017-01-17 18:00:00
6377,2017-01-17 19:00:00
6172,2017-01-17 20:00:00
5922,2017-01-17 21:00:00
5577,2017-01-17 22:00:00
5164,2017-01-17 23:00:00
4785,2017-01-18 00:00:00
4540,2017-01-18 01:00:00
4392,2017-01-18 02:00:00
4330,2017-01-18 03:00:00
4364,2017-01-18 04:00:00
4617,2017-01-18 05:00:00
5159,2017-01-18 06:00:00
5709,2017-01-18 07:00:00
6035,2017-01-18 08:00:00
6251,2017-01-18 09:00:00
6330,2017-01-18 10:00:00
6364,2017-01-18 11:00:00
6370,2017-01-18 12:00:00
6372,2017-01-18 13:00:00
6358,2017-01-18 14:00:00
6388,2017-01-18 15:00:00
6501,2017-01-18 16:00:00
6678,2017-01-18 17:00:00
6566,2017-01-18 18:00:00
6379,2017-01-18 19:00:00
6167,2017-01-18 20:00:00
5916,2017-01-18 21:00:00
5569,2017-01-18 22:00:00
5147,2017-01-18 23:00:00
4761,2017-01-19 00:00:00
4517,2017-01-19 01:00:00
4369,2017-01-19 02:00:00
4307,2017-01-19 03:00:00
4343,2017-01-19 04:00:00
4599,2017-01-19 05:00:00
5149,2017-01-19 06:00:00
5704,2017-01-19 07:00:00
6020,2017-01-19 08:00:00
6222,2017-01-19 09:00:00
6288,2017-01-19 10:00:00
6319,2017-01-19 11:00:00
6321,2017-01-19 12:00:00
6309,2017-01-19 13:00:00
6286,2017-01-19 14:00:00
6313,2017-01-19 15:00:00
6424,2017-01-19 16:00:00
6617,2017-01-19 17:00:00
6505,2017-01-19 18:00:00
6328,2017-01-19 19:00:00
6117,2017-01-19 20:00:00
5869,2017-01-19 21:00:00
5524,2017-01-19 22:00:00
5116,2017-01-19 23:00:00
4771,2017-01-20 00:00:00
4533,2017-01-20 01:00:00
4383,2017-01-20 02:00:00
4320,2017-01-20 03:00:00
4354,2017-01-20 04:00:00
4607,2017-01-20 05:00:00
5162,2017-01-20 06:00:00
5720,2017-01-20 07:00:00
6050,2017-01-20 08:00:00
6258,2017-01-20 09:00:00
6338,2017-01-20 10:00:00
6331,2017-01-20 11:00:00
6314,2017-01-20 12:00:00
6287,2017-01-20 13:00:00
6257,2017-01-20 14:00:00
6270,2017-01-20 15:00:00
6348,2017-01-20 16:00:00
6493,2017-01-20 17:00:00
6382,2017-01-20 18:00:00
6202,2017-01-20 19:00:00
5993,2017-01-20 20:00:00
5772,2017-01-20 21:00:00
5500,2017-01-20 22:00:00
5179,2017-01-20 23:00:00
4876,2017-01-21 00:00:00
4608,2017-01-21 01:00:00
4430,2017-01-21 02:00:00
4333,2017-01-21 03:00:00
4306,2017-01-21 04:00:00
4385,2017-01-21 05:00:00
4560,2017-01-21 06:00:00
4774,2017-01-21 07:00:00
5044,2017-01-21 08:00:00
5280,2017-01-21 09:00:00
5450,2017-01-21 10:00:00
5512,2017-01-21 11:00:00
5517,2017-01-21 12:00:00
5476,2017-01-21 13:00:00
5442,2017-01-21 14:00:00
5437,2017-01-21 15:00:00
5519,2017-01-21 16:00:00
5735,2017-01-21 17:00:00
5796,2017-01-21 18:00:00
5729,2017-01-21 19:00:00
5608,2017-01-21 20:00:00
5463,2017-01-21 21:00:00
5278,2017-01-21 22:00:00
5049,2017-01-21 23:00:00
4767,2017-01-22 00:00:00
4534,2017-01-22 01:00:00
4366,2017-01-22 02:00:00
4271,2017-01-22 03:00:00
4240,2017-01-22 04:00:00
4297,2017-01-22 05:00:00
4426,2017-01-22 06:00:00
4565,2017-01-22 07:00:00
4769,2017-01-22 08:00:00
4975,2017-01-22 09:00:00
5163,2017-01-22 10:00:00
5283,2017-01-22 11:00:00
5323,2017-01-22 12:00:00
5325,2017-01-22 13:00:00
5313,2017-01-22 14:00:00
5335,2017-01-22 15:00:00
5453,2017-01-22 16:00:00
5712,2017-01-22 17:00:00
5806,2017-01-22 18:00:00
5770,2017-01-22 19:00:00
5677,2017-01-22 20:00:00
5518,2017-01-22 21:00:00
5255,2017-01-22 22:00:00
4927,2017-01-22 23:00:00
