Load Forecast,Time Stamp
13320,2017-10-30 00:00:00
12807,2017-10-30 01:00:00
12501,2017-10-30 02:00:00
12379,2017-10-30 03:00:00
12552,2017-10-30 04:00:00
13417,2017-10-30 05:00:00
15200,2017-10-30 06:00:00
16636,2017-10-30 07:00:00
17079,2017-10-30 08:00:00
17302,2017-10-30 09:00:00
17440,2017-10-30 10:00:00
17390,2017-10-30 11:00:00
17299,2017-10-30 12:00:00
17279,2017-10-30 13:00:00
17213,2017-10-30 14:00:00
17215,2017-10-30 15:00:00
17360,2017-10-30 16:00:00
17514,2017-10-30 17:00:00
18198,2017-10-30 18:00:00
18191,2017-10-30 19:00:00
17537,2017-10-30 20:00:00
16733,2017-10-30 21:00:00
15501,2017-10-30 22:00:00
14268,2017-10-30 23:00:00
13447,2017-10-31 00:00:00
12976,2017-10-31 01:00:00
12693,2017-10-31 02:00:00
12597,2017-10-31 03:00:00
12809,2017-10-31 04:00:00
13686,2017-10-31 05:00:00
15400,2017-10-31 06:00:00
16734,2017-10-31 07:00:00
17047,2017-10-31 08:00:00
17178,2017-10-31 09:00:00
17264,2017-10-31 10:00:00
17265,2017-10-31 11:00:00
17202,2017-10-31 12:00:00
17211,2017-10-31 13:00:00
17183,2017-10-31 14:00:00
17212,2017-10-31 15:00:00
17403,2017-10-31 16:00:00
17599,2017-10-31 17:00:00
18213,2017-10-31 18:00:00
18163,2017-10-31 19:00:00
17616,2017-10-31 20:00:00
16861,2017-10-31 21:00:00
15681,2017-10-31 22:00:00
14480,2017-10-31 23:00:00
13496,2017-11-01 00:00:00
12982,2017-11-01 01:00:00
12693,2017-11-01 02:00:00
12617,2017-11-01 03:00:00
12846,2017-11-01 04:00:00
13705,2017-11-01 05:00:00
15476,2017-11-01 06:00:00
16929,2017-11-01 07:00:00
17246,2017-11-01 08:00:00
17485,2017-11-01 09:00:00
17521,2017-11-01 10:00:00
17434,2017-11-01 11:00:00
17275,2017-11-01 12:00:00
17216,2017-11-01 13:00:00
17132,2017-11-01 14:00:00
17163,2017-11-01 15:00:00
17534,2017-11-01 16:00:00
17717,2017-11-01 17:00:00
18375,2017-11-01 18:00:00
18258,2017-11-01 19:00:00
17792,2017-11-01 20:00:00
16826,2017-11-01 21:00:00
15688,2017-11-01 22:00:00
14475,2017-11-01 23:00:00
13447,2017-11-02 00:00:00
12892,2017-11-02 01:00:00
12576,2017-11-02 02:00:00
12475,2017-11-02 03:00:00
12682,2017-11-02 04:00:00
13533,2017-11-02 05:00:00
15369,2017-11-02 06:00:00
16895,2017-11-02 07:00:00
17288,2017-11-02 08:00:00
17519,2017-11-02 09:00:00
17624,2017-11-02 10:00:00
17577,2017-11-02 11:00:00
17466,2017-11-02 12:00:00
17436,2017-11-02 13:00:00
17367,2017-11-02 14:00:00
17397,2017-11-02 15:00:00
17718,2017-11-02 16:00:00
17842,2017-11-02 17:00:00
18412,2017-11-02 18:00:00
18212,2017-11-02 19:00:00
17678,2017-11-02 20:00:00
16695,2017-11-02 21:00:00
15539,2017-11-02 22:00:00
14341,2017-11-02 23:00:00
13461,2017-11-03 00:00:00
12867,2017-11-03 01:00:00
12499,2017-11-03 02:00:00
12365,2017-11-03 03:00:00
12532,2017-11-03 04:00:00
13314,2017-11-03 05:00:00
15066,2017-11-03 06:00:00
16542,2017-11-03 07:00:00
16944,2017-11-03 08:00:00
17239,2017-11-03 09:00:00
17380,2017-11-03 10:00:00
17382,2017-11-03 11:00:00
17299,2017-11-03 12:00:00
17284,2017-11-03 13:00:00
17256,2017-11-03 14:00:00
17260,2017-11-03 15:00:00
17498,2017-11-03 16:00:00
17488,2017-11-03 17:00:00
17927,2017-11-03 18:00:00
17675,2017-11-03 19:00:00
17094,2017-11-03 20:00:00
16285,2017-11-03 21:00:00
15351,2017-11-03 22:00:00
14292,2017-11-03 23:00:00
13393,2017-11-04 00:00:00
12818,2017-11-04 01:00:00
12486,2017-11-04 02:00:00
12338,2017-11-04 03:00:00
12387,2017-11-04 04:00:00
12695,2017-11-04 05:00:00
13379,2017-11-04 06:00:00
14260,2017-11-04 07:00:00
14917,2017-11-04 08:00:00
15667,2017-11-04 09:00:00
15973,2017-11-04 10:00:00
16009,2017-11-04 11:00:00
15896,2017-11-04 12:00:00
15714,2017-11-04 13:00:00
15574,2017-11-04 14:00:00
15543,2017-11-04 15:00:00
15822,2017-11-04 16:00:00
16002,2017-11-04 17:00:00
16723,2017-11-04 18:00:00
16697,2017-11-04 19:00:00
16407,2017-11-04 20:00:00
15836,2017-11-04 21:00:00
15186,2017-11-04 22:00:00
14424,2017-11-04 23:00:00
