Load Forecast,Time Stamp
1572,2017-01-27 00:00:00
1534,2017-01-27 01:00:00
1517,2017-01-27 02:00:00
1513,2017-01-27 03:00:00
1537,2017-01-27 04:00:00
1612,2017-01-27 05:00:00
1756,2017-01-27 06:00:00
1867,2017-01-27 07:00:00
1885,2017-01-27 08:00:00
1908,2017-01-27 09:00:00
1924,2017-01-27 10:00:00
1921,2017-01-27 11:00:00
1907,2017-01-27 12:00:00
1905,2017-01-27 13:00:00
1891,2017-01-27 14:00:00
1876,2017-01-27 15:00:00
1895,2017-01-27 16:00:00
1959,2017-01-27 17:00:00
1988,2017-01-27 18:00:00
1958,2017-01-27 19:00:00
1907,2017-01-27 20:00:00
1844,2017-01-27 21:00:00
1759,2017-01-27 22:00:00
1658,2017-01-27 23:00:00
1584,2017-01-28 00:00:00
1543,2017-01-28 01:00:00
1521,2017-01-28 02:00:00
1509,2017-01-28 03:00:00
1516,2017-01-28 04:00:00
1546,2017-01-28 05:00:00
1597,2017-01-28 06:00:00
1653,2017-01-28 07:00:00
1698,2017-01-28 08:00:00
1744,2017-01-28 09:00:00
1768,2017-01-28 10:00:00
1768,2017-01-28 11:00:00
1759,2017-01-28 12:00:00
1746,2017-01-28 13:00:00
1738,2017-01-28 14:00:00
1735,2017-01-28 15:00:00
1765,2017-01-28 16:00:00
1838,2017-01-28 17:00:00
1877,2017-01-28 18:00:00
1853,2017-01-28 19:00:00
1813,2017-01-28 20:00:00
1761,2017-01-28 21:00:00
1696,2017-01-28 22:00:00
1622,2017-01-28 23:00:00
1563,2017-01-29 00:00:00
1524,2017-01-29 01:00:00
1503,2017-01-29 02:00:00
1492,2017-01-29 03:00:00
1496,2017-01-29 04:00:00
1520,2017-01-29 05:00:00
1560,2017-01-29 06:00:00
1600,2017-01-29 07:00:00
1640,2017-01-29 08:00:00
1682,2017-01-29 09:00:00
1703,2017-01-29 10:00:00
1707,2017-01-29 11:00:00
1707,2017-01-29 12:00:00
1701,2017-01-29 13:00:00
1697,2017-01-29 14:00:00
1698,2017-01-29 15:00:00
1740,2017-01-29 16:00:00
1825,2017-01-29 17:00:00
1884,2017-01-29 18:00:00
1874,2017-01-29 19:00:00
1844,2017-01-29 20:00:00
1790,2017-01-29 21:00:00
1724,2017-01-29 22:00:00
1655,2017-01-29 23:00:00
1599,2017-01-30 00:00:00
1571,2017-01-30 01:00:00
1562,2017-01-30 02:00:00
1561,2017-01-30 03:00:00
1590,2017-01-30 04:00:00
1671,2017-01-30 05:00:00
1815,2017-01-30 06:00:00
1923,2017-01-30 07:00:00
1944,2017-01-30 08:00:00
1962,2017-01-30 09:00:00
1974,2017-01-30 10:00:00
1969,2017-01-30 11:00:00
1951,2017-01-30 12:00:00
1944,2017-01-30 13:00:00
1929,2017-01-30 14:00:00
1911,2017-01-30 15:00:00
1934,2017-01-30 16:00:00
2015,2017-01-30 17:00:00
2073,2017-01-30 18:00:00
2061,2017-01-30 19:00:00
2014,2017-01-30 20:00:00
1940,2017-01-30 21:00:00
1842,2017-01-30 22:00:00
1739,2017-01-30 23:00:00
1671,2017-01-31 00:00:00
1631,2017-01-31 01:00:00
1613,2017-01-31 02:00:00
1604,2017-01-31 03:00:00
1624,2017-01-31 04:00:00
1699,2017-01-31 05:00:00
1836,2017-01-31 06:00:00
1931,2017-01-31 07:00:00
1937,2017-01-31 08:00:00
1944,2017-01-31 09:00:00
1949,2017-01-31 10:00:00
1940,2017-01-31 11:00:00
1916,2017-01-31 12:00:00
1914,2017-01-31 13:00:00
1895,2017-01-31 14:00:00
1875,2017-01-31 15:00:00
1899,2017-01-31 16:00:00
1972,2017-01-31 17:00:00
2019,2017-01-31 18:00:00
2002,2017-01-31 19:00:00
1954,2017-01-31 20:00:00
1875,2017-01-31 21:00:00
1771,2017-01-31 22:00:00
1661,2017-01-31 23:00:00
1609,2017-02-01 00:00:00
1577,2017-02-01 01:00:00
1561,2017-02-01 02:00:00
1558,2017-02-01 03:00:00
1580,2017-02-01 04:00:00
1651,2017-02-01 05:00:00
1790,2017-02-01 06:00:00
1889,2017-02-01 07:00:00
1897,2017-02-01 08:00:00
1911,2017-02-01 09:00:00
1924,2017-02-01 10:00:00
1920,2017-02-01 11:00:00
1906,2017-02-01 12:00:00
1911,2017-02-01 13:00:00
1904,2017-02-01 14:00:00
1891,2017-02-01 15:00:00
1905,2017-02-01 16:00:00
1975,2017-02-01 17:00:00
2038,2017-02-01 18:00:00
2016,2017-02-01 19:00:00
1979,2017-02-01 20:00:00
1921,2017-02-01 21:00:00
1829,2017-02-01 22:00:00
1729,2017-02-01 23:00:00
